county_name,Year,Series,Permits
Cherokee,1986,Single-family,2467.0
Cherokee,1987,All,1867.0
Cherokee,1987,Multi-family,39.0
Cherokee,1987,Single-family,1828.0
Cherokee,1988,All,1788.0
Cherokee,1988,Multi-family,125.0
Cherokee,1988,Single-family,1663.0
Cherokee,1989,All,1414.0
Cherokee,1989,Multi-family,53.0
Cherokee,1989,Single-family,1361.0
Cherokee,1990,All,1061.0
Cherokee,1990,Multi-family,13.0
Cherokee,1990,Single-family,1048.0
Cherokee,1991,All,1260.0
Cherokee,1991,Multi-family,10.0
Cherokee,1991,Single-family,1250.0
Cherokee,1992,All,1703.0
Cherokee,1992,Multi-family,2.0
Cherokee,1992,Single-family,1701.0
Cherokee,1993,All,1988.0
Cherokee,1993,Multi-family,76.0
Cherokee,1993,Single-family,1912.0
Cherokee,1994,All,1904.0
Cherokee,1994,Multi-family,21.0
Cherokee,1994,Single-family,1883.0
Cherokee,1995,All,2378.0
Cherokee,1995,Multi-family,448.0
Cherokee,1995,Single-family,1930.0
Cherokee,1996,All,1969.0
Cherokee,1996,Multi-family,30.0
Cherokee,1996,Single-family,1939.0
Cherokee,1997,All,2159.0
Cherokee,1997,Multi-family,257.0
Cherokee,1997,Single-family,1902.0
Cherokee,1998,All,3339.0
Cherokee,1998,Multi-family,570.0
Cherokee,1998,Single-family,2769.0
Cherokee,1999,All,3380.0
Cherokee,1999,Multi-family,588.0
Cherokee,1999,Single-family,2792.0
Cherokee,2000,All,3776.0
Cherokee,2000,Multi-family,894.0
Cherokee,2000,Single-family,2882.0
Cherokee,2001,All,3611.0
Cherokee,2001,Multi-family,842.0
Cherokee,2001,Single-family,2769.0
Cherokee,2002,All,3795.0
Cherokee,2002,Multi-family,596.0
Cherokee,2002,Single-family,3199.0
Cherokee,2003,All,3804.0
Cherokee,2003,Multi-family,362.0
Cherokee,2003,Single-family,3442.0
Cherokee,2004,All,4084.0
Cherokee,2004,Multi-family,272.0
Cherokee,2004,Single-family,3812.0
Cherokee,2005,All,4162.0
Cherokee,2005,Multi-family,97.0
Cherokee,2005,Single-family,4065.0
Cherokee,2006,All,3723.0
Cherokee,2006,Multi-family,238.0
Cherokee,2006,Single-family,3485.0
Cherokee,2007,All,2231.0
Cherokee,2007,Multi-family,19.0
Cherokee,2007,Single-family,2212.0
Cherokee,2008,All,912.0
Cherokee,2008,Multi-family,4.0
Cherokee,2008,Single-family,908.0
Cherokee,2009,All,407.0
Cherokee,2009,Multi-family,0.0
Cherokee,2009,Single-family,407.0
Cherokee,2010,All,549.0
Cherokee,2010,Multi-family,100.0
Cherokee,2010,Single-family,449.0
Cherokee,2011,All,439.0
Cherokee,2011,Multi-family,0.0
Cherokee,2011,Single-family,439.0
Cherokee,2012,All,1213.0
Cherokee,2012,Multi-family,472.0
Cherokee,2012,Single-family,741.0
Cherokee,2013,All,1403.0
Cherokee,2013,Multi-family,0.0
Cherokee,2013,Single-family,1403.0
Cherokee,2014,All,2123.0
Cherokee,2014,Multi-family,547.0
Cherokee,2014,Single-family,1576.0
Cherokee,2015,All,2000.0
Cherokee,2015,Multi-family,153.0
Cherokee,2015,Single-family,1847.0
Cherokee,2016,All,2494.0
Cherokee,2016,Multi-family,394.0
Cherokee,2016,Single-family,2100.0
Cherokee,2017,All,2284.0
Cherokee,2017,Multi-family,0.0
Cherokee,2017,Single-family,2284.0
Cherokee,2018,All,3500.0
Cherokee,2018,Multi-family,1264.0
Cherokee,2018,Single-family,2236.0
Cherokee,2019,All,2438.0
Cherokee,2019,Multi-family,266.0
Cherokee,2019,Single-family,2172.0
Cherokee,2020,All,2394.0
Cherokee,2020,Multi-family,9.0
Cherokee,2020,Single-family,2385.0
Cherokee,2021,All,2754.0
Cherokee,2021,Multi-family,156.0
Cherokee,2021,Single-family,2598.0
Cherokee,2022,All,3021.0
Cherokee,2022,Multi-family,526.0
Cherokee,2022,Single-family,2495.0
Cherokee,2023,All,2226.0
Cherokee,2023,Multi-family,30.0
Cherokee,2023,Single-family,2196.0
Cherokee,2024,All,2665.0
Cherokee,2024,Multi-family,869.0
Cherokee,2024,Single-family,1796.0
Cherokee,2024,All,2665.0
Cherokee,2024,Multi-family,869.0
Cherokee,2024,Single-family,1796.0
Clayton,1980,All,1033.0
Clayton,1980,Multi-family,0.0
Clayton,1980,Single-family,1033.0
Clayton,1981,All,549.0
Clayton,1981,Multi-family,4.0
Clayton,1981,Single-family,545.0
Clayton,1982,All,794.0
Clayton,1982,Multi-family,92.0
Clayton,1982,Single-family,702.0
Clayton,1983,All,1432.0
Clayton,1983,Multi-family,94.0
Clayton,1983,Single-family,1338.0
Clayton,1984,All,2226.0
Clayton,1984,Multi-family,674.0
Clayton,1984,Single-family,1552.0
Clayton,1985,All,2960.0
Clayton,1985,Multi-family,1437.0
Clayton,1985,Single-family,1523.0
Clayton,1986,All,3640.0
Clayton,1986,Multi-family,1951.0
Clayton,1986,Single-family,1689.0
Clayton,1987,All,3302.0
Clayton,1987,Multi-family,1832.0
Clayton,1987,Single-family,1470.0
Clayton,1988,All,2700.0
Clayton,1988,Multi-family,1194.0
Clayton,1988,Single-family,1506.0
Clayton,1989,All,2234.0
Clayton,1989,Multi-family,1151.0
Clayton,1989,Single-family,1083.0
Clayton,1990,All,1400.0
Clayton,1990,Multi-family,447.0
Clayton,1990,Single-family,953.0
Clayton,1991,All,1024.0
Clayton,1991,Multi-family,78.0
Clayton,1991,Single-family,946.0
Clayton,1992,All,1109.0
Clayton,1992,Multi-family,0.0
Clayton,1992,Single-family,1109.0
Clayton,1993,All,1094.0
Clayton,1993,Multi-family,0.0
Clayton,1993,Single-family,1094.0
Clayton,1994,All,1319.0
Clayton,1994,Multi-family,334.0
Clayton,1994,Single-family,985.0
Clayton,1995,All,1066.0
Clayton,1995,Multi-family,7.0
Clayton,1995,Single-family,1059.0
Clayton,1996,All,1341.0
Clayton,1996,Multi-family,192.0
Clayton,1996,Single-family,1149.0
Clayton,1997,All,1511.0
Clayton,1997,Multi-family,330.0
Clayton,1997,Single-family,1181.0
Clayton,1998,All,1656.0
Clayton,1998,Multi-family,0.0
Clayton,1998,Single-family,1656.0
Clayton,1999,All,2261.0
Clayton,1999,Multi-family,0.0
Clayton,1999,Single-family,2261.0
Clayton,2000,All,3347.0
Clayton,2000,Multi-family,1024.0
Clayton,2000,Single-family,2323.0
Clayton,2001,All,3170.0
Clayton,2001,Multi-family,636.0
Clayton,2001,Single-family,2534.0
Clayton,2002,All,3240.0
Clayton,2002,Multi-family,957.0
Clayton,2002,Single-family,2283.0
Clayton,2003,All,2579.0
Clayton,2003,Multi-family,60.0
Clayton,2003,Single-family,2519.0
Clayton,2004,All,3014.0
Clayton,2004,Multi-family,968.0
Clayton,2004,Single-family,2046.0
Clayton,2005,All,2114.0
Clayton,2005,Multi-family,8.0
Clayton,2005,Single-family,2106.0
Clayton,2006,All,2231.0
Clayton,2006,Multi-family,14.0
