City,Year,Series,Permits,provisional
Alpharetta,2009,Multi-family,0,False
Alpharetta,2009,Single-family,32,False
Alpharetta,2010,Multi-family,0,False
Alpharetta,2010,Single-family,57,False
Alpharetta,2011,Multi-family,340,False
Alpharetta,2011,Single-family,94,False
Alpharetta,2012,Multi-family,0,False
Alpharetta,2012,Single-family,119,False
Alpharetta,2013,Multi-family,250,False
Alpharetta,2013,Single-family,121,False
Alpharetta,2014,Multi-family,0,False
Alpharetta,2014,Single-family,288,False
Alpharetta,2015,Multi-family,511,False
Alpharetta,2015,Single-family,266,False
Alpharetta,2016,Multi-family,0,False
Alpharetta,2016,Single-family,259,False
Alpharetta,2017,Multi-family,0,False
Alpharetta,2017,Single-family,357,False
Alpharetta,2018,Multi-family,0,False
Alpharetta,2018,Single-family,475,False
Alpharetta,2019,Multi-family,24,False
Alpharetta,2019,Single-family,204,False
Alpharetta,2020,Multi-family,140,False
Alpharetta,2020,Single-family,227,False
Alpharetta,2021,Multi-family,45,False
Alpharetta,2021,Single-family,404,False
Alpharetta,2022,Multi-family,255,False
Alpharetta,2022,Single-family,201,False
Alpharetta,2023,Multi-family,0,False
Alpharetta,2023,Single-family,201,False
Alpharetta,2024,Multi-family,0,False
Alpharetta,2024,Single-family,226,False
Alpharetta,2025,Multi-family,0,True
Alpharetta,2025,Single-family,316,True
Alpharetta,2026,Multi-family,14,True
Alpharetta,2026,Single-family,4,True
Atlanta,1980,Multi-family,921,False
Atlanta,1980,Single-family,364,False
Atlanta,1981,Multi-family,32,False
Atlanta,1981,Single-family,636,False
Atlanta,1982,Multi-family,1375,False
Atlanta,1982,Single-family,343,False
Atlanta,1983,Multi-family,272,False
Atlanta,1983,Single-family,831,False
Atlanta,1984,Multi-family,866,False
Atlanta,1984,Single-family,325,False
Atlanta,1985,Multi-family,575,False
Atlanta,1985,Single-family,281,False
Atlanta,1986,Multi-family,1975,False
Atlanta,1986,Single-family,371,False
Atlanta,1987,Multi-family,1046,False
Atlanta,1987,Single-family,351,False
Atlanta,1988,Multi-family,3048,False
Atlanta,1988,Single-family,550,False
Atlanta,1989,Multi-family,1666,False
Atlanta,1989,Single-family,438,False
Atlanta,1990,Multi-family,2100,False
Atlanta,1990,Single-family,425,False
Atlanta,1991,Multi-family,444,False
Atlanta,1991,Single-family,296,False
Atlanta,1992,Multi-family,165,False
Atlanta,1992,Single-family,465,False
Atlanta,1993,Multi-family,554,False
Atlanta,1993,Single-family,325,False
Atlanta,1994,Multi-family,767,False
Atlanta,1994,Single-family,324,False
Atlanta,1995,Multi-family,1092,False
Atlanta,1995,Single-family,361,False
Atlanta,1996,Multi-family,2839,False
Atlanta,1996,Single-family,377,False
Atlanta,1997,Multi-family,1396,False
Atlanta,1997,Single-family,308,False
Atlanta,1998,Multi-family,1823,False
Atlanta,1998,Single-family,449,False
Atlanta,1999,Multi-family,3128,False
Atlanta,1999,Single-family,760,False
Atlanta,2000,Multi-family,5016,False
Atlanta,2000,Single-family,803,False
Atlanta,2001,Multi-family,6013,False
Atlanta,2001,Single-family,781,False
Atlanta,2002,Multi-family,5890,False
Atlanta,2002,Single-family,759,False
Atlanta,2003,Multi-family,5913,False
Atlanta,2003,Single-family,980,False
Atlanta,2004,Multi-family,8370,False
Atlanta,2004,Single-family,1356,False
Atlanta,2005,Multi-family,6410,False
Atlanta,2005,Single-family,1564,False
Atlanta,2006,Multi-family,8937,False
Atlanta,2006,Single-family,1842,False
Atlanta,2007,Multi-family,8050,False
Atlanta,2007,Single-family,1247,False
Atlanta,2008,Multi-family,1868,False
Atlanta,2008,Single-family,502,False
Atlanta,2009,Multi-family,750,False
Atlanta,2009,Single-family,169,False
Atlanta,2010,Multi-family,196,False
Atlanta,2010,Single-family,83,False
Atlanta,2011,Multi-family,510,False
Atlanta,2011,Single-family,227,False
Atlanta,2012,Multi-family,1764,False
Atlanta,2012,Single-family,359,False
Atlanta,2013,Multi-family,5070,False
Atlanta,2013,Single-family,473,False
Atlanta,2014,Multi-family,3960,False
Atlanta,2014,Single-family,545,False
Atlanta,2015,Multi-family,5937,False
Atlanta,2015,Single-family,760,False
Atlanta,2016,Multi-family,7176,False
Atlanta,2016,Single-family,855,False
Atlanta,2017,Multi-family,4179,False
Atlanta,2017,Single-family,922,False
Atlanta,2018,Multi-family,5312,False
Atlanta,2018,Single-family,1184,False
Atlanta,2019,Multi-family,2555,False
Atlanta,2019,Single-family,728,False
Atlanta,2020,Multi-family,1301,False
Atlanta,2020,Single-family,373,False
Atlanta,2021,Multi-family,1558,False
Atlanta,2021,Single-family,855,False
Atlanta,2022,Multi-family,10078,False
Atlanta,2022,Single-family,1775,False
Atlanta,2023,Multi-family,6482,False
Atlanta,2023,Single-family,1139,False
Atlanta,2024,Multi-family,7318,False
Atlanta,2024,Single-family,791,False
Atlanta,2025,Multi-family,5061,True
Atlanta,2025,Single-family,561,True
Atlanta,2026,Multi-family,226,True
Atlanta,2026,Single-family,41,True
Austell,1980,Multi-family,0,False
Austell,1980,Single-family,2,False
Austell,1981,Multi-family,2,False
Austell,1981,Single-family,1,False
Austell,1982,Multi-family,0,False
Austell,1982,Single-family,3,False
Austell,1983,Multi-family,16,False
Austell,1983,Single-family,6,False
Austell,1984,Multi-family,2,False
Austell,1984,Single-family,45,False
Austell,1985,Multi-family,0,False
Austell,1985,Single-family,59,False
Austell,1986,Multi-family,54,False
Austell,1986,Single-family,6,False
Austell,1987,Multi-family,0,False
Austell,1987,Single-family,2,False
Austell,1988,Multi-family,0,False
Austell,1988,Single-family,10,False
Austell,1989,Multi-family,30,False
Austell,1989,Single-family,3,False
Austell,1990,Multi-family,0,False
Austell,1990,Single-family,30,False
Austell,1991,Multi-family,0,False
Austell,1991,Single-family,28,False
Austell,1992,Multi-family,0,False
Austell,1992,Single-family,13,False
Austell,1993,Multi-family,0,False
Austell,1993,Single-family,26,False
Austell,1994,Multi-family,0,False
Austell,1994,Single-family,39,False
Austell,1995,Multi-family,0,False
Austell,1995,Single-family,33,False
Austell,1996,Multi-family,0,False
Austell,1996,Single-family,34,False
Austell,1997,Multi-family,0,False
Austell,1997,Single-family,46,False
Austell,1998,Multi-family,0,False
Austell,1998,Single-family,42,False
Austell,1999,Multi-family,6,False
Austell,1999,Single-family,76,False
Austell,2000,Multi-family,6,False
Austell,2000,Single-family,129,False
Austell,2001,Multi-family,0,False
Austell,2001,Single-family,165,False
Austell,2002,Multi-family,0,False
Austell,2002,Single-family,118,False
Austell,2003,Multi-family,2,False
Austell,2003,Single-family,89,False
Austell,2004,Multi-family,0,False
Austell,2004,Single-family,59,False
Austell,2005,Multi-family,0,False
Austell,2005,Single-family,84,False
Austell,2006,Multi-family,0,False
Austell,2006,Single-family,92,False
Austell,2007,Multi-family,0,False
Austell,2007,Single-family,39,False
Austell,2008,Multi-family,0,False
Austell,2008,Single-family,10,False
Austell,2009,Multi-family,0,False
Austell,2009,Single-family,2,False
Austell,2010,Multi-family,0,False
Austell,2010,Single-family,6,False
Austell,2011,Multi-family,0,False
Austell,2011,Single-family,2,False
Austell,2012,Multi-family,0,False
Austell,2012,Single-family,3,False
Austell,2013,Multi-family,0,False
Austell,2013,Single-family,40,False
Austell,2014,Multi-family,0,False
Austell,2014,Single-family,46,False
Austell,2015,Multi-family,0,False
Austell,2015,Single-family,12,False
Austell,2016,Multi-family,0,False
Austell,2016,Single-family,27,False
Austell,2017,Multi-family,0,False
Austell,2017,Single-family,17,False
Austell,2018,Multi-family,0,False
Austell,2018,Single-family,50,False
Austell,2019,Multi-family,0,False
Austell,2019,Single-family,40,False
Austell,2020,Multi-family,0,False
Austell,2020,Single-family,47,False
Austell,2021,Multi-family,0,False
Austell,2021,Single-family,55,False
Austell,2022,Multi-family,0,False
Austell,2022,Single-family,51,False
Austell,2023,Multi-family,0,False
Austell,2023,Single-family,38,False
Austell,2024,Multi-family,0,False
Austell,2024,Single-family,23,False
Austell,2025,Multi-family,58,True
Austell,2025,Single-family,105,True
Austell,2026,Multi-family,0,True
Austell,2026,Single-family,9,True
Avondale Estates,1980,Multi-family,0,False
Avondale Estates,1980,Single-family,0,False
Avondale Estates,1981,Multi-family,0,False
Avondale Estates,1981,Single-family,0,False
Avondale Estates,1982,Multi-family,0,False
Avondale Estates,1982,Single-family,0,False
Avondale Estates,1983,Multi-family,0,False
Avondale Estates,1983,Single-family,4,False
Avondale Estates,1984,Multi-family,204,False
Avondale Estates,1984,Single-family,1,False
Avondale Estates,1985,Multi-family,0,False
Avondale Estates,1985,Single-family,2,False
Avondale Estates,1986,Multi-family,0,False
Avondale Estates,1986,Single-family,1,False
Avondale Estates,1987,Multi-family,0,False
Avondale Estates,1987,Single-family,1,False
Avondale Estates,1988,Multi-family,0,False
Avondale Estates,1988,Single-family,0,False
Avondale Estates,1989,Multi-family,0,False
Avondale Estates,1989,Single-family,1,False
Avondale Estates,1990,Multi-family,0,False
Avondale Estates,1990,Single-family,0,False
Avondale Estates,1991,Multi-family,0,False
Avondale Estates,1991,Single-family,2,False
Avondale Estates,1992,Multi-family,0,False
Avondale Estates,1992,Single-family,2,False
Avondale Estates,1993,Multi-family,0,False
Avondale Estates,1993,Single-family,4,False
Avondale Estates,1994,Multi-family,0,False
Avondale Estates,1994,Single-family,0,False
Avondale Estates,1995,Multi-family,0,False
Avondale Estates,1995,Single-family,0,False
Avondale Estates,1996,Multi-family,0,False
Avondale Estates,1996,Single-family,0,False
Avondale Estates,1997,Multi-family,0,False
Avondale Estates,1997,Single-family,0,False
Avondale Estates,1998,Multi-family,0,False
Avondale Estates,1998,Single-family,0,False
Avondale Estates,1999,Multi-family,0,False
Avondale Estates,1999,Single-family,0,False
Avondale Estates,2000,Multi-family,0,False
Avondale Estates,2000,Single-family,0,False
Avondale Estates,2001,Multi-family,0,False
Avondale Estates,2001,Single-family,0,False
Avondale Estates,2002,Multi-family,0,False
Avondale Estates,2002,Single-family,0,False
Avondale Estates,2003,Multi-family,0,False
Avondale Estates,2003,Single-family,0,False
Avondale Estates,2004,Multi-family,0,False
Avondale Estates,2004,Single-family,0,False
Avondale Estates,2005,Multi-family,0,False
Avondale Estates,2005,Single-family,0,False
Avondale Estates,2006,Multi-family,0,False
Avondale Estates,2006,Single-family,0,False
Avondale Estates,2007,Multi-family,0,False
Avondale Estates,2007,Single-family,0,False
Avondale Estates,2008,Multi-family,0,False
Avondale Estates,2008,Single-family,0,False
Avondale Estates,2009,Multi-family,0,False
Avondale Estates,2009,Single-family,0,False
Avondale Estates,2010,Multi-family,0,False
Avondale Estates,2010,Single-family,0,False
Avondale Estates,2011,Multi-family,0,False
Avondale Estates,2011,Single-family,0,False
Avondale Estates,2012,Multi-family,0,False
Avondale Estates,2012,Single-family,0,False
Avondale Estates,2013,Multi-family,0,False
Avondale Estates,2013,Single-family,0,False
Avondale Estates,2014,Multi-family,0,False
Avondale Estates,2014,Single-family,0,False
Avondale Estates,2015,Multi-family,0,False
Avondale Estates,2015,Single-family,0,False
Avondale Estates,2016,Multi-family,0,False
Avondale Estates,2016,Single-family,0,False
Avondale Estates,2017,Multi-family,0,False
Avondale Estates,2017,Single-family,2,False
Avondale Estates,2018,Multi-family,0,False
Avondale Estates,2018,Single-family,5,False
Avondale Estates,2019,Multi-family,0,False
Avondale Estates,2019,Single-family,0,False
Avondale Estates,2020,Multi-family,0,False
Avondale Estates,2020,Single-family,1,False
Avondale Estates,2021,Multi-family,0,False
Avondale Estates,2021,Single-family,3,False
Avondale Estates,2022,Multi-family,0,False
Avondale Estates,2022,Single-family,36,False
Avondale Estates,2023,Multi-family,0,False
Avondale Estates,2023,Single-family,3,False
Avondale Estates,2024,Multi-family,0,False
Avondale Estates,2024,Single-family,0,False
Avondale Estates,2025,Multi-family,66,True
Avondale Estates,2025,Single-family,0,True
Avondale Estates,2026,Multi-family,0,True
Avondale Estates,2026,Single-family,0,True
Ball Ground,1980,Multi-family,0,False
Ball Ground,1980,Single-family,0,False
Ball Ground,1981,Multi-family,0,False
Ball Ground,1981,Single-family,0,False
Ball Ground,1982,Multi-family,0,False
Ball Ground,1982,Single-family,0,False
Ball Ground,1983,Multi-family,0,False
Ball Ground,1983,Single-family,0,False
Ball Ground,1984,Multi-family,0,False
Ball Ground,1984,Single-family,0,False
Ball Ground,1985,Multi-family,0,False
Ball Ground,1985,Single-family,0,False
Ball Ground,1986,Multi-family,0,False
Ball Ground,1986,Single-family,0,False
Ball Ground,1987,Multi-family,0,False
Ball Ground,1987,Single-family,0,False
Ball Ground,1988,Multi-family,0,False
Ball Ground,1988,Single-family,0,False
Ball Ground,1989,Multi-family,0,False
Ball Ground,1989,Single-family,0,False
Ball Ground,1990,Multi-family,0,False
Ball Ground,1990,Single-family,0,False
Ball Ground,1991,Multi-family,0,False
Ball Ground,1991,Single-family,0,False
Ball Ground,1992,Multi-family,0,False
Ball Ground,1992,Single-family,0,False
Ball Ground,1993,Multi-family,0,False
Ball Ground,1993,Single-family,0,False
Ball Ground,1994,Multi-family,0,False
Ball Ground,1994,Single-family,0,False
Ball Ground,1995,Multi-family,0,False
Ball Ground,1995,Single-family,0,False
Ball Ground,1996,Multi-family,0,False
Ball Ground,1996,Single-family,0,False
Ball Ground,1997,Multi-family,0,False
Ball Ground,1997,Single-family,0,False
Ball Ground,1998,Multi-family,0,False
Ball Ground,1998,Single-family,0,False
Ball Ground,1999,Multi-family,0,False
Ball Ground,1999,Single-family,0,False
Ball Ground,2000,Multi-family,0,False
Ball Ground,2000,Single-family,0,False
Ball Ground,2001,Multi-family,0,False
Ball Ground,2001,Single-family,0,False
Ball Ground,2002,Multi-family,0,False
Ball Ground,2002,Single-family,0,False
Ball Ground,2003,Multi-family,0,False
Ball Ground,2003,Single-family,0,False
Ball Ground,2004,Multi-family,0,False
Ball Ground,2004,Single-family,0,False
Ball Ground,2005,Multi-family,0,False
Ball Ground,2005,Single-family,0,False
Ball Ground,2006,Multi-family,0,False
Ball Ground,2006,Single-family,0,False
Ball Ground,2007,Multi-family,0,False
Ball Ground,2007,Single-family,0,False
Ball Ground,2008,Multi-family,0,False
Ball Ground,2008,Single-family,0,False
Ball Ground,2009,Multi-family,0,False
Ball Ground,2009,Single-family,0,False
Ball Ground,2010,Multi-family,0,False
Ball Ground,2010,Single-family,0,False
