city,month_year,date,Series,Permits
Atlanta,Jan 2024,2024-01-01,Single-Family,49.0
Atlanta,Feb 2024,2024-02-01,Multi-Family,519.0
Atlanta,Feb 2024,2024-02-01,Single-Family,56.0
Atlanta,Mar 2024,2024-03-01,Multi-Family,841.0
Atlanta,Mar 2024,2024-03-01,Single-Family,95.0
Atlanta,Apr 2024,2024-04-01,Multi-Family,523.0
Atlanta,Apr 2024,2024-04-01,Single-Family,76.0
Atlanta,May 2024,2024-05-01,Multi-Family,532.0
Atlanta,May 2024,2024-05-01,Single-Family,69.0
Atlanta,Jun 2024,2024-06-01,Multi-Family,402.0
Atlanta,Jun 2024,2024-06-01,Single-Family,36.0
Atlanta,Jul 2024,2024-07-01,Multi-Family,566.0
Atlanta,Jul 2024,2024-07-01,Single-Family,64.0
Atlanta,Aug 2024,2024-08-01,Multi-Family,363.0
Atlanta,Aug 2024,2024-08-01,Single-Family,80.0
Atlanta,Sep 2024,2024-09-01,Multi-Family,953.0
Atlanta,Sep 2024,2024-09-01,Single-Family,37.0
Austell,Apr 2023,2023-04-01,Multi-Family,0.0
Austell,Apr 2023,2023-04-01,Single-Family,3.0
Austell,May 2023,2023-05-01,Multi-Family,0.0
Austell,May 2023,2023-05-01,Single-Family,3.0
Austell,Jun 2023,2023-06-01,Multi-Family,0.0
Austell,Jun 2023,2023-06-01,Single-Family,9.0
Austell,Jul 2023,2023-07-01,Multi-Family,0.0
Austell,Jul 2023,2023-07-01,Single-Family,5.0
Austell,Aug 2023,2023-08-01,Multi-Family,0.0
Austell,Aug 2023,2023-08-01,Single-Family,0.0
Austell,Sep 2023,2023-09-01,Multi-Family,0.0
Austell,Sep 2023,2023-09-01,Single-Family,1.0
Austell,Oct 2023,2023-10-01,Multi-Family,0.0
Austell,Oct 2023,2023-10-01,Single-Family,3.0
Austell,Nov 2023,2023-11-01,Multi-Family,0.0
Austell,Nov 2023,2023-11-01,Single-Family,5.0
Austell,Dec 2023,2023-12-01,Multi-Family,0.0
Austell,Dec 2023,2023-12-01,Single-Family,2.0
Austell,Jan 2024,2024-01-01,Multi-Family,0.0
Austell,Jan 2024,2024-01-01,Single-Family,0.0
Austell,Feb 2024,2024-02-01,Multi-Family,0.0
Austell,Feb 2024,2024-02-01,Single-Family,0.0
Austell,Mar 2024,2024-03-01,Multi-Family,0.0
Austell,Mar 2024,2024-03-01,Single-Family,0.0
Austell,Apr 2024,2024-04-01,Multi-Family,0.0
Austell,Apr 2024,2024-04-01,Single-Family,0.0
Austell,May 2024,2024-05-01,Multi-Family,0.0
Austell,May 2024,2024-05-01,Single-Family,0.0
Austell,Jun 2024,2024-06-01,Multi-Family,0.0
Austell,Jun 2024,2024-06-01,Single-Family,0.0
Austell,Jul 2024,2024-07-01,Multi-Family,0.0
Austell,Jul 2024,2024-07-01,Single-Family,0.0
Austell,Aug 2024,2024-08-01,Multi-Family,0.0
Austell,Aug 2024,2024-08-01,Single-Family,0.0
Austell,Sep 2024,2024-09-01,Multi-Family,0.0
Austell,Sep 2024,2024-09-01,Single-Family,15.0
Avondale Estates,Apr 2023,2023-04-01,Multi-Family,0.0
Avondale Estates,Apr 2023,2023-04-01,Single-Family,0.0
Avondale Estates,May 2023,2023-05-01,Multi-Family,0.0
Avondale Estates,May 2023,2023-05-01,Single-Family,0.0
Avondale Estates,Jun 2023,2023-06-01,Multi-Family,0.0
Avondale Estates,Jun 2023,2023-06-01,Single-Family,0.0
Avondale Estates,Jul 2023,2023-07-01,Multi-Family,0.0
Avondale Estates,Jul 2023,2023-07-01,Single-Family,3.0
Avondale Estates,Aug 2023,2023-08-01,Multi-Family,0.0
Avondale Estates,Aug 2023,2023-08-01,Single-Family,0.0
Avondale Estates,Sep 2023,2023-09-01,Multi-Family,0.0
Avondale Estates,Sep 2023,2023-09-01,Single-Family,2.0
Avondale Estates,Oct 2023,2023-10-01,Multi-Family,0.0
Avondale Estates,Oct 2023,2023-10-01,Single-Family,2.0
Avondale Estates,Nov 2023,2023-11-01,Multi-Family,0.0
Avondale Estates,Nov 2023,2023-11-01,Single-Family,1.0
Avondale Estates,Dec 2023,2023-12-01,Multi-Family,0.0
Avondale Estates,Dec 2023,2023-12-01,Single-Family,2.0
Avondale Estates,Jan 2024,2024-01-01,Multi-Family,0.0
Avondale Estates,Jan 2024,2024-01-01,Single-Family,2.0
Avondale Estates,Feb 2024,2024-02-01,Multi-Family,0.0
Avondale Estates,Feb 2024,2024-02-01,Single-Family,0.0
Avondale Estates,Mar 2024,2024-03-01,Multi-Family,0.0
Avondale Estates,Mar 2024,2024-03-01,Single-Family,0.0
Avondale Estates,Apr 2024,2024-04-01,Multi-Family,0.0
Avondale Estates,Apr 2024,2024-04-01,Single-Family,0.0
Avondale Estates,May 2024,2024-05-01,Multi-Family,0.0
Avondale Estates,May 2024,2024-05-01,Single-Family,0.0
Avondale Estates,Jun 2024,2024-06-01,Multi-Family,0.0
Avondale Estates,Jun 2024,2024-06-01,Single-Family,0.0
Avondale Estates,Jul 2024,2024-07-01,Multi-Family,0.0
Avondale Estates,Jul 2024,2024-07-01,Single-Family,0.0
Avondale Estates,Aug 2024,2024-08-01,Multi-Family,0.0
Avondale Estates,Aug 2024,2024-08-01,Single-Family,0.0
Avondale Estates,Sep 2024,2024-09-01,Multi-Family,0.0
Avondale Estates,Sep 2024,2024-09-01,Single-Family,0.0
Ball Ground,Apr 2023,2023-04-01,Multi-Family,0.0
Ball Ground,Apr 2023,2023-04-01,Single-Family,0.0
Ball Ground,May 2023,2023-05-01,Multi-Family,0.0
Ball Ground,May 2023,2023-05-01,Single-Family,18.0
Ball Ground,Jun 2023,2023-06-01,Multi-Family,0.0
Ball Ground,Jun 2023,2023-06-01,Single-Family,31.0
Ball Ground,Jul 2023,2023-07-01,Multi-Family,0.0
Ball Ground,Jul 2023,2023-07-01,Single-Family,1.0
Ball Ground,Aug 2023,2023-08-01,Multi-Family,0.0
Ball Ground,Aug 2023,2023-08-01,Single-Family,5.0
Ball Ground,Sep 2023,2023-09-01,Multi-Family,0.0
Ball Ground,Sep 2023,2023-09-01,Single-Family,7.0
Ball Ground,Oct 2023,2023-10-01,Multi-Family,0.0
Ball Ground,Oct 2023,2023-10-01,Single-Family,6.0
Ball Ground,Nov 2023,2023-11-01,Multi-Family,0.0
Ball Ground,Nov 2023,2023-11-01,Single-Family,8.0
Ball Ground,Dec 2023,2023-12-01,Multi-Family,0.0
Ball Ground,Dec 2023,2023-12-01,Single-Family,5.0
Ball Ground,Jan 2024,2024-01-01,Multi-Family,0.0
Ball Ground,Jan 2024,2024-01-01,Single-Family,11.0
Ball Ground,Feb 2024,2024-02-01,Multi-Family,0.0
Ball Ground,Feb 2024,2024-02-01,Single-Family,3.0
Ball Ground,Mar 2024,2024-03-01,Multi-Family,0.0
Ball Ground,Mar 2024,2024-03-01,Single-Family,0.0
Ball Ground,Apr 2024,2024-04-01,Multi-Family,0.0
Ball Ground,Apr 2024,2024-04-01,Single-Family,9.0
Ball Ground,May 2024,2024-05-01,Multi-Family,0.0
Ball Ground,May 2024,2024-05-01,Single-Family,7.0
Ball Ground,Jun 2024,2024-06-01,Multi-Family,0.0
Ball Ground,Jun 2024,2024-06-01,Single-Family,8.0
Ball Ground,Jul 2024,2024-07-01,Multi-Family,0.0
Ball Ground,Jul 2024,2024-07-01,Single-Family,4.0
Ball Ground,Aug 2024,2024-08-01,Multi-Family,0.0
Ball Ground,Aug 2024,2024-08-01,Single-Family,9.0
Ball Ground,Sep 2024,2024-09-01,Multi-Family,0.0
Ball Ground,Sep 2024,2024-09-01,Single-Family,19.0
Berkeley Lake,Apr 2023,2023-04-01,Multi-Family,0.0
Berkeley Lake,Apr 2023,2023-04-01,Single-Family,0.0
Berkeley Lake,May 2023,2023-05-01,Multi-Family,0.0
Berkeley Lake,May 2023,2023-05-01,Single-Family,0.0
Berkeley Lake,Jun 2023,2023-06-01,Multi-Family,0.0
Berkeley Lake,Jun 2023,2023-06-01,Single-Family,0.0
Berkeley Lake,Jul 2023,2023-07-01,Multi-Family,0.0
Berkeley Lake,Jul 2023,2023-07-01,Single-Family,0.0
Berkeley Lake,Aug 2023,2023-08-01,Multi-Family,0.0
Berkeley Lake,Aug 2023,2023-08-01,Single-Family,0.0
Berkeley Lake,Sep 2023,2023-09-01,Multi-Family,0.0
Berkeley Lake,Sep 2023,2023-09-01,Single-Family,0.0
Berkeley Lake,Oct 2023,2023-10-01,Multi-Family,0.0
Berkeley Lake,Oct 2023,2023-10-01,Single-Family,0.0
Berkeley Lake,Nov 2023,2023-11-01,Multi-Family,0.0
Berkeley Lake,Nov 2023,2023-11-01,Single-Family,0.0
Berkeley Lake,Dec 2023,2023-12-01,Multi-Family,0.0
Berkeley Lake,Dec 2023,2023-12-01,Single-Family,0.0
Berkeley Lake,Jan 2024,2024-01-01,Multi-Family,0.0
Berkeley Lake,Jan 2024,2024-01-01,Single-Family,0.0
Berkeley Lake,Feb 2024,2024-02-01,Multi-Family,0.0
Berkeley Lake,Feb 2024,2024-02-01,Single-Family,0.0
Berkeley Lake,Mar 2024,2024-03-01,Multi-Family,0.0
Berkeley Lake,Mar 2024,2024-03-01,Single-Family,0.0
Berkeley Lake,Apr 2024,2024-04-01,Multi-Family,0.0
Berkeley Lake,Apr 2024,2024-04-01,Single-Family,0.0
Berkeley Lake,May 2024,2024-05-01,Multi-Family,0.0
Berkeley Lake,May 2024,2024-05-01,Single-Family,0.0
Berkeley Lake,Jun 2024,2024-06-01,Multi-Family,0.0
Berkeley Lake,Jun 2024,2024-06-01,Single-Family,1.0
Berkeley Lake,Jul 2024,2024-07-01,Multi-Family,0.0
Berkeley Lake,Jul 2024,2024-07-01,Single-Family,0.0
Berkeley Lake,Aug 2024,2024-08-01,Multi-Family,0.0
Berkeley Lake,Aug 2024,2024-08-01,Single-Family,0.0
Berkeley Lake,Sep 2024,2024-09-01,Multi-Family,0.0
Berkeley Lake,Sep 2024,2024-09-01,Single-Family,0.0
Brookhaven,Apr 2023,2023-04-01,Multi-Family,0.0
Brookhaven,Apr 2023,2023-04-01,Single-Family,1.0
Brookhaven,May 2023,2023-05-01,Multi-Family,630.0
Brookhaven,May 2023,2023-05-01,Single-Family,5.0
Brookhaven,Jun 2023,2023-06-01,Multi-Family,0.0
Brookhaven,Jun 2023,2023-06-01,Single-Family,4.0
Brookhaven,Jul 2023,2023-07-01,Multi-Family,0.0
Brookhaven,Jul 2023,2023-07-01,Single-Family,4.0
Brookhaven,Aug 2023,2023-08-01,Multi-Family,0.0
Brookhaven,Aug 2023,2023-08-01,Single-Family,7.0
Brookhaven,Sep 2023,2023-09-01,Multi-Family,0.0
Brookhaven,Sep 2023,2023-09-01,Single-Family,5.0
Brookhaven,Oct 2023,2023-10-01,Multi-Family,0.0
Brookhaven,Oct 2023,2023-10-01,Single-Family,5.0
Brookhaven,Nov 2023,2023-11-01,Multi-Family,0.0
Brookhaven,Nov 2023,2023-11-01,Single-Family,6.0
Brookhaven,Dec 2023,2023-12-01,Multi-Family,0.0
Brookhaven,Dec 2023,2023-12-01,Single-Family,5.0
Brookhaven,Jan 2024,2024-01-01,Multi-Family,0.0
Brookhaven,Jan 2024,2024-01-01,Single-Family,7.0
Brookhaven,Feb 2024,2024-02-01,Multi-Family,0.0
Brookhaven,Feb 2024,2024-02-01,Single-Family,5.0
Brookhaven,Mar 2024,2024-03-01,Multi-Family,0.0
Brookhaven,Mar 2024,2024-03-01,Single-Family,7.0
Brookhaven,Apr 2024,2024-04-01,Multi-Family,0.0
Brookhaven,Apr 2024,2024-04-01,Single-Family,8.0
Brookhaven,May 2024,2024-05-01,Multi-Family,0.0
Brookhaven,May 2024,2024-05-01,Single-Family,6.0
Brookhaven,Jun 2024,2024-06-01,Multi-Family,0.0
Brookhaven,Jun 2024,2024-06-01,Single-Family,27.0
Brookhaven,Jul 2024,2024-07-01,Multi-Family,0.0
Brookhaven,Jul 2024,2024-07-01,Single-Family,28.0
Brookhaven,Aug 2024,2024-08-01,Multi-Family,0.0
Brookhaven,Aug 2024,2024-08-01,Single-Family,10.0
Brookhaven,Sep 2024,2024-09-01,Multi-Family,0.0
Brookhaven,Sep 2024,2024-09-01,Single-Family,2.0
Buford,Apr 2023,2023-04-01,Multi-Family,0.0
Buford,Apr 2023,2023-04-01,Single-Family,4.0
Buford,May 2023,2023-05-01,Multi-Family,73.0
Buford,May 2023,2023-05-01,Single-Family,5.0
Buford,Jun 2023,2023-06-01,Multi-Family,0.0
Buford,Jun 2023,2023-06-01,Single-Family,1.0
Buford,Jul 2023,2023-07-01,Multi-Family,0.0
Buford,Jul 2023,2023-07-01,Single-Family,3.0
Buford,Aug 2023,2023-08-01,Multi-Family,0.0
Buford,Aug 2023,2023-08-01,Single-Family,6.0
Buford,Sep 2023,2023-09-01,Multi-Family,0.0
Buford,Sep 2023,2023-09-01,Single-Family,4.0
Buford,Oct 2023,2023-10-01,Multi-Family,0.0
Buford,Oct 2023,2023-10-01,Single-Family,5.0
Buford,Nov 2023,2023-11-01,Multi-Family,0.0
Buford,Nov 2023,2023-11-01,Single-Family,1.0
Buford,Dec 2023,2023-12-01,Multi-Family,0.0
Buford,Dec 2023,2023-12-01,Single-Family,2.0
Buford,Jan 2024,2024-01-01,Multi-Family,0.0
Buford,Jan 2024,2024-01-01,Single-Family,2.0
Buford,Feb 2024,2024-02-01,Multi-Family,0.0
Buford,Feb 2024,2024-02-01,Single-Family,2.0
Buford,Mar 2024,2024-03-01,Multi-Family,0.0
Buford,Mar 2024,2024-03-01,Single-Family,6.0
Buford,Apr 2024,2024-04-01,Multi-Family,0.0
Buford,Apr 2024,2024-04-01,Single-Family,3.0
Buford,May 2024,2024-05-01,Multi-Family,0.0
Buford,May 2024,2024-05-01,Single-Family,4.0
Buford,Jun 2024,2024-06-01,Multi-Family,0.0
Buford,Jun 2024,2024-06-01,Single-Family,5.0
Buford,Jul 2024,2024-07-01,Multi-Family,0.0
Buford,Jul 2024,2024-07-01,Single-Family,3.0
Buford,Aug 2024,2024-08-01,Multi-Family,0.0
Buford,Aug 2024,2024-08-01,Single-Family,12.0
Buford,Sep 2024,2024-09-01,Multi-Family,0.0
Buford,Sep 2024,2024-09-01,Single-Family,4.0
Canton,Apr 2023,2023-04-01,Multi-Family,2.0
