Year,Level,Name,FIPS,SF_permits,SF_value,MF_permits,MF_value,2U_permits,2U_value,3-4U_permits,3-4U_value,5+U_permits,5+U_value
2025,City/Other,Barnesville,13171057000,2,592410,0,0,0,0,0,0,0,0
2024,County,Barrow,13013,1116,198286025,311,60885798,0,0,0,0,311,60885798
2025,County,Barrow,13013,1300,301898663,284,48914172,0,0,0,0,284,48914172
2024,City/Other,Barrow County Unincorporated Area,13013058000,779,101419220,244,35017904,0,0,0,0,244,35017904
2025,City/Other,Barrow County Unincorporated Area,13013058000,733,123590283,284,48914172,0,0,0,0,284,48914172
2024,County,Bartow,13015,1139,321313260,483,70681353,142,21911985,76,11072819,265,37696549
2024,City/Other,Bartow,13163060000,0,0,0,0,0,0,0,0,0,0
2025,County,Bartow,13015,795,246876462,235,38350349,0,0,42,6459079,193,31891270
2025,City/Other,Bartow,13163060000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Bartow County Unincorporated Area,13015059000,781,203465623,483,70681353,142,21911985,76,11072819,265,37696549
2025,City/Other,Bartow County Unincorporated Area,13015059000,468,137608688,235,38350349,0,0,42,6459079,193,31891270
2024,City/Other,Baxley,13001063000,17,9828952,0,0,0,0,0,0,0,0
2025,City/Other,Baxley,13001063000,17,1870000,4,380000,4,380000,0,0,0,0
2024,County,Ben Hill,13017,6,1084015,0,0,0,0,0,0,0,0
2025,County,Ben Hill,13017,13,2048451,4,300000,4,300000,0,0,0,0
2024,City/Other,Ben Hill County Unincorporated Area,13017065000,5,669015,0,0,0,0,0,0,0,0
2025,City/Other,Ben Hill County Unincorporated Area,13017065000,7,936621,0,0,0,0,0,0,0,0
2024,City/Other,Berkeley Lake,13135066000,2,1836000,0,0,0,0,0,0,0,0
2025,City/Other,Berkeley Lake,13135066000,0,0,0,0,0,0,0,0,0,0
2024,County,Berrien,13019,91,31166840,44,5423484,0,0,0,0,44,5423484
2025,County,Berrien,13019,80,29963338,35,4314135,0,0,0,0,35,4314135
2024,City/Other,Berrien County Unincorporated Area,13019068000,45,8965980,0,0,0,0,0,0,0,0
2025,City/Other,Berrien County Unincorporated Area,13019068000,43,12975460,0,0,0,0,0,0,0,0
2024,City/Other,Between,13297070000,5,1855800,0,0,0,0,0,0,0,0
2025,City/Other,Between,13297070000,0,0,0,0,0,0,0,0,0,0
2024,County,Bibb,13021,154,27055463,0,0,0,0,0,0,0,0
2025,County,Bibb,13021,143,25123164,0,0,0,0,0,0,0,0
2024,City/Other,Blakely,13099075000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Blakely,13099075000,0,0,0,0,0,0,0,0,0,0
2024,County,Bleckley,13023,64,12414307,45,10043739,0,0,0,0,45,10043739
2025,County,Bleckley,13023,86,16384820,0,0,0,0,0,0,0,0
2024,City/Other,Bleckley County Unincorporated Area,13023076000,64,12414307,45,10043739,0,0,0,0,45,10043739
2025,City/Other,Bleckley County Unincorporated Area,13023076000,86,16384820,0,0,0,0,0,0,0,0
2024,City/Other,Bloomingdale,13051077000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Bloomingdale,13051077000,491,215438389,0,0,0,0,0,0,0,0
2024,City/Other,Blythe,13245081000,2,330000,0,0,0,0,0,0,0,0
2025,City/Other,Blythe,13245081000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Bogart,13219083000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Bogart,13219083000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Bowdon,13045086000,25,4575007,0,0,0,0,0,0,0,0
2025,City/Other,Bowdon,13045086000,19,5193000,0,0,0,0,0,0,0,0
2024,City/Other,Bowersville,13147087000,2,605281,0,0,0,0,0,0,0,0
2025,City/Other,Bowersville,13147087000,2,605281,0,0,0,0,0,0,0,0
2024,City/Other,Bowman,13105088000,11,3850000,0,0,0,0,0,0,0,0
2025,City/Other,Bowman,13105088000,11,3850000,0,0,0,0,0,0,0,0
2024,County,Brantley,13025,51,11452513,12,1498920,12,1498920,0,0,0,0
2025,County,Brantley,13025,45,9562257,32,700000,32,700000,0,0,0,0
2024,City/Other,Brantley County Unincorporated Area,13025089000,46,9939310,0,0,0,0,0,0,0,0
2025,City/Other,Brantley County Unincorporated Area,13025089000,42,9076257,0,0,0,0,0,0,0,0
2024,City/Other,Braselton,13157092000,415,119197274,0,0,0,0,0,0,0,0
2025,City/Other,Braselton,13157092000,443,129786852,0,0,0,0,0,0,0,0
2024,City/Other,Braswell,13223093000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Braswell,13223093000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Bremen,13045095000,19,4965577,25,5015731,0,0,12,2359678,13,2656053
2025,City/Other,Bremen,13045095000,16,5086092,0,0,0,0,0,0,0,0
2024,City/Other,Bronwood,13273098000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Bronwood,13273098000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Brookhaven,13089098700,117,82330950,0,0,0,0,0,0,0,0
2025,City/Other,Brookhaven,13089098700,143,101196367,0,0,0,0,0,0,0,0
2024,City/Other,Brooklet,13031099000,190,54641779,0,0,0,0,0,0,0,0
2025,City/Other,Brooklet,13031099000,79,22955470,60,9694565,60,9694565,0,0,0,0
2024,County,Brooks,13027,39,7044281,0,0,0,0,0,0,0,0
2025,County,Brooks,13027,58,17179890,0,0,0,0,0,0,0,0
2024,City/Other,Brooks County,13027100000,39,7044281,0,0,0,0,0,0,0,0
2025,City/Other,Brooks County,13027100000,58,17179890,0,0,0,0,0,0,0,0
2024,County,Bryan,13029,442,169974007,68,12048994,0,0,0,0,68,12048994
2025,County,Bryan,13029,348,124749371,385,69898179,22,2457914,28,4577682,335,62862583
2024,City/Other,Bryan County Unincorporated Area,13029104000,309,116867942,0,0,0,0,0,0,0,0
2025,City/Other,Bryan County Unincorporated Area,13029104000,163,61651780,0,0,0,0,0,0,0,0
2024,City/Other,Buchanan,13143105000,30,8627649,0,0,0,0,0,0,0,0
2025,City/Other,Buchanan,13143105000,10,2960167,0,0,0,0,0,0,0,0
2024,City/Other,Buena Vista,13197107000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Buena Vista,13197107000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Buford,13135108000,52,28842826,0,0,0,0,0,0,0,0
2025,City/Other,Buford,13135108000,61,45021272,0,0,0,0,0,0,0,0
2024,County,Bulloch,13031,742,172111003,108,11460000,102,10795000,0,0,6,665000
2025,County,Bulloch,13031,929,189972082,460,47381189,162,19694565,0,0,298,27686624
2024,City/Other,Bulloch County Unincorporated Area,13031110000,390,92367924,102,10795000,102,10795000,0,0,0,0
2025,City/Other,Bulloch County Unincorporated Area,13031110000,382,98000000,102,10000000,102,10000000,0,0,0,0
2024,County,Burke,13033,64,17141597,0,0,0,0,0,0,0,0
2025,County,Burke,13033,52,13840859,48,11249462,0,0,0,0,48,11249462
2024,City/Other,Burke County Unincorporated Area,13033111000,59,16208930,0,0,0,0,0,0,0,0
2025,City/Other,Burke County Unincorporated Area,13033111000,49,13360859,0,0,0,0,0,0,0,0
2024,City/Other,Butler,13269112000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Butler,13269112000,0,0,0,0,0,0,0,0,0,0
2024,County,Butts,13035,60,19946472,0,0,0,0,0,0,0,0
2025,County,Butts,13035,85,25110847,0,0,0,0,0,0,0,0
2024,City/Other,Butts County,13035113000,60,19946472,0,0,0,0,0,0,0,0
2025,City/Other,Butts County,13035113000,85,25110847,0,0,0,0,0,0,0,0
2024,City/Other,Byron,13225115000,96,16412771,0,0,0,0,0,0,0,0
2025,City/Other,Byron,13225115000,90,15460652,0,0,0,0,0,0,0,0
2024,City/Other,Cairo,13131117000,18,3629900,0,0,0,0,0,0,0,0
2025,City/Other,Cairo,13131117000,3,793000,0,0,0,0,0,0,0,0
2024,County,Calhoun,13037,5,1087500,0,0,0,0,0,0,0,0
2024,City/Other,Calhoun,13129118000,214,34229239,72,6163920,0,0,72,6163920,0,0
2025,County,Calhoun,13037,5,1087500,0,0,0,0,0,0,0,0
2025,City/Other,Calhoun,13129118000,171,36339800,0,0,0,0,0,0,0,0
2024,City/Other,Calhoun County Unincorporated Area,13037119000,5,1087500,0,0,0,0,0,0,0,0
2025,City/Other,Calhoun County Unincorporated Area,13037119000,5,1087500,0,0,0,0,0,0,0,0
2024,City/Other,Camak,13301120000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Camak,13301120000,0,0,0,0,0,0,0,0,0,0
2024,County,Camden,13039,315,95483688,48,12691878,40,11523808,8,1168070,0,0
2025,County,Camden,13039,418,116467368,28,5402609,16,3002609,0,0,12,2400000
2024,City/Other,Camden County Unincorporated Area,13039121000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Camden County Unincorporated Area,13039121000,61,19990303,0,0,0,0,0,0,0,0
2024,City/Other,Camilla,13205122000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Camilla,13205122000,0,0,0,0,0,0,0,0,0,0
2024,County,Candler,13043,9,1952000,0,0,0,0,0,0,0,0
2025,County,Candler,13043,7,1123820,0,0,0,0,0,0,0,0
2024,City/Other,Candler County Unincorporated Area,13043123000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Candler County Unincorporated Area,13043123000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Canton,13057126000,286,96396479,858,149330525,6,3495352,0,0,852,145835173
2025,City/Other,Canton,13057126000,276,80192943,7,1950548,4,1050548,3,900000,0,0
2024,City/Other,Carlton,13195128000,1,380000,0,0,0,0,0,0,0,0
2025,City/Other,Carlton,13195128000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Carnesville,13119129000,55,9273226,0,0,0,0,0,0,0,0
2025,City/Other,Carnesville,13119129000,1,275771,0,0,0,0,0,0,0,0
2024,County,Carroll,13045,730,208379047,170,25036583,2,310476,12,2359678,156,22366429
2025,County,Carroll,13045,776,245435353,289,44886491,0,0,0,0,289,44886491
2024,City/Other,Carroll County Unincorporated Area,13045130000,255,72908608,2,310476,2,310476,0,0,0,0
2025,City/Other,Carroll County Unincorporated Area,13045130000,227,66656373,0,0,0,0,0,0,0,0
2024,City/Other,Carrollton,13045131000,115,28692194,0,0,0,0,0,0,0,0
2025,City/Other,Carrollton,13045131000,116,34095245,0,0,0,0,0,0,0,0
2024,City/Other,Cartersville,13015132000,176,75282876,0,0,0,0,0,0,0,0
2025,City/Other,Cartersville,13015132000,149,62056148,0,0,0,0,0,0,0,0
